,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,370000.0,Partly Finished,2.0,4.0,Detached,Ranchlands,Wood Frame,"Brick, Vinyl",West,"Dishwasher-Built-In, Dryer, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Washer",Natural Gas,379900.0,Single Garage Detached,Detached,4 Lvl Split,2339.0,1151.0,2.0,1978,10/23/2013,35.0,T3G 1P4
2,445000.0,,2.0,3.0,Detached,Oakridge,Wood Frame,Metal,North,"Air Conditioning-Central, Dishwasher - Energy Star, Dryer, Garage Control, Garage Opener, Garage Opener-1 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,448800.0,Single Garage Attached,Detached,Bungalow,2626.0,1237.0,3.0,1969,09/20/2013,13.0,T2V 3W5
3,487500.0,Suite,2.0,4.0,Detached,Winston Heights/Mountview,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,499900.0,"Single Garage Detached, Over Sized, Rear Drive Access",Detached,Bungalow,2792.0,911.0,2.0,1955,10/08/2013,29.0,T2E 5P5
4,512500.0,Fully Finished,3.0,3.0,Detached,Tuscany,Wood Frame,Vinyl,Northeast,"Dishwasher-Built-In, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Gas, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,519900.0,Double Garage Attached,Detached,2 Storey,2813.0,1622.0,4.0,2002,10/08/2013,27.0,T3L 2S6
5,975000.0,Fully Finished,3.0,5.0,Detached,Hamptons,Wood Frame,"Brick, Stucco",East,"Air Cleaner-Electronic, Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerators-Two, Stove-Gas, Vacuum System Attachments, Window Coverings-All",Natural Gas,999999.0,Triple Garage Attached,Detached,2 Storey,5797.0,2835.0,6.0,1998,11/01/2013,50.0,T3A 6A2
6,250000.0,Partly Finished,1.0,3.0,Semi Detached,Pineridge,Wood Frame,"Brick, Metal",North,"Dishwasher-Built-In, Hood Fan, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Window Coverings-All",Natural Gas,254900.0,,Attached,2 Storey,1296.0,1200.0,2.0,1976,09/27/2013,14.0,T1Y 3A8
7,620000.0,Unfinished,2.0,3.0,Detached,Discovery Ridge,Wood Frame,"Stone, Stucco",South,"Dishwasher-Built-In, Fan-Ceiling, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,629900.0,Double Garage Attached,Detached,2 Storey,4106.0,2343.0,4.0,2004,10/04/2013,24.0,T3H 5G2
8,332000.0,Fully Finished,2.0,4.0,Detached,Martindale,Wood Frame,"Brick, Vinyl",North,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refridgerator - Energy Star, Refrigerator, Stove-Electric, Washer",Natural Gas,334900.0,Double Garage Attached,Detached,2 Storey,1921.0,1270.0,2.0,1996,09/24/2013,13.0,T3J 3N6
9,455000.0,Fully Finished,3.0,4.0,Detached,Copperfield,Wood Frame,Vinyl,South,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Microwave Hood Cover, Refrigerator, Stove-Countertop Electric, Washer, Window Coverings-All",Natural Gas,459500.0,Double Garage Attached,Detached,2 Storey,2712.0,2055.0,4.0,2006,09/26/2013,20.0,T2Z 0E7
10,675000.0,,0.0,1.0,Detached,Elboya,See Remarks,See Remarks,West,None,,785000.0,,Detached,Bungalow,7017.0,1140.0,2.0,1951,09/18/2013,7.0,T2S 1Z9
11,745000.0,Fully Finished,3.0,4.0,Detached,Auburn Bay,Wood Frame,"Composite, Stone",Southeast,"Air Cleaner-Electronic, Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Water Conditioner, Water Softener, Window Coverings-All",Natural Gas,759000.0,Double Garage Attached,Detached,2 Storey,4448.0,2711.0,4.0,2008,09/25/2013,21.0,T3M 1L2
12,515000.0,Fully Finished,3.0,5.0,Detached,Edgemont,Wood Frame,"Brick, Wood",Northeast,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,545000.0,"Double Garage Attached, Insulated, Over Sized",Detached,Bungalow,3167.0,1630.0,2.0,1979,09/26/2013,13.0,T3A 2J4
13,421650.0,Unfinished,1.0,3.0,Detached,Silver Springs,Wood Frame,"Brick, Vinyl",North,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Vacuum System Attachments, Washer",Natural Gas,375000.0,,Detached,4 Lvl Split,2351.0,1156.0,1.0,1975,09/15/2013,7.0,T3B 4B4
14,375000.0,Fully Finished,0.0,4.0,Detached,New Brighton,Wood Frame,Vinyl,South,"Alarm/Security System, Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Gas, Washer",Natural Gas,379900.0,Rear Drive Access,Detached,Bungalow,2057.0,1057.0,2.0,2009,09/21/2013,8.0,T2Z 0S6
15,495000.0,Fully Finished,2.0,4.0,Detached,Glenbrook,Wood Frame,"Brick, Metal, Stucco",West,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Humidifier-Power (Furnace), Oven-Microwave, Refrigerator, Storage Shed, Stove-Gas, Washer, Window Coverings-All",Natural Gas,499900.0,"Double Garage Detached, Heated, Over Sized",Detached,Bungalow,3132.0,1130.0,2.0,1962,09/17/2013,12.0,T3E 3X4
16,403000.0,Unfinished,2.0,3.0,Detached,Somerset,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,418800.0,Double Garage Attached,Detached,2 Storey,2241.0,1506.0,2.0,2002,09/19/2013,19.0,T2Y 4K7
