,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,521000.0,"Fully Finished, Suite",3.0,6.0,Detached,Citadel,Wood Frame,Stucco,East,"Dishwasher-Built-In, Fan-Ceiling, Garage Control, Garage Opener-2 Control, Garburator, Hood Fan, Humidifier-Power (Furnace), Microwave Hood Cover, Oven-Microwave, Refrigerator, Satellite TV Dish, Stove-Electric, Window Coverings-All","Natural Gas, See Remarks",539500.0,Double Garage Attached,Detached,2 Sty Split,2766.0,1840.0,2.0,1993,10/31/2013,77.0,T3G 3V5
2,550000.0,Fully Finished,2.0,4.0,Detached,Silver Springs,Wood Frame,"Stone, Vinyl",Northwest,"Dishwasher-Built-In, Freezer, Garage Opener, Garage Opener-1 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,565000.0,Double Garage Detached,Detached,Bungalow,3265.0,1407.0,4.0,1975,08/27/2013,15.0,T3B 4C2
3,830000.0,Unfinished,1.0,2.0,Detached,Roxboro,Wood Frame,Stucco,East,"Refrigerator, Stove-Electric",Natural Gas,869000.0,"Single Carport, Single Garage Detached",Detached,Bungalow,5765.0,1108.0,2.0,1944,08/14/2013,2.0,T2S 1T6
4,705000.0,Fully Finished,3.0,4.0,Semi Detached,Highland Park,Wood Frame,"Stone, Stucco",South,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Humidifier-Power (Furnace), Microwave Hood Cover, Refrigerator, Stove-Gas, Washer",Natural Gas,719900.0,Double Garage Detached,Attached,2 Storey,2232.0,1858.0,2.0,2013,09/12/2013,30.0,T2K 0H6
5,698000.0,Fully Finished,3.0,5.0,Detached,Valley Ridge,Wood Frame,"Stone, Stucco",North,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Garburator, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,710000.0,Double Garage Attached,Detached,2 Storey,3834.0,2060.0,4.0,2002,09/13/2013,28.0,T3B 5Y3
6,227500.0,Fully Finished,2.0,4.0,Semi Detached,Temple,Wood Frame,Wood,West,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Natural Gas,229000.0,"Double Carport, Rear Drive Access",Attached,2 Storey,1043.0,1216.0,3.0,1978,08/29/2013,12.0,T1Y 3W1
7,1350000.0,Fully Finished,3.0,5.0,Detached,McKenzie Lake,Wood Frame,"Brick, Stucco",Southeast,"Air Conditioning-Central, Dishwasher-Built-In, Fan-Ceiling, Garage Opener-1 Control, Garage Opener-2 Control, Hood Fan, Oven-Built-In, Oven-Microwave, Refrigerators-Two, Storage Shed, Stove-Countertop Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,1395000.0,"Triple Garage Attached, Insulated, Front Drive Access, Heated, Over Sized",Detached,Bungalow,9356.0,2160.0,7.0,1989,10/15/2013,57.0,T2Z 1M4
8,850000.0,Fully Finished,2.0,3.0,Detached,Elboya,Wood Frame,"Brick, Stucco, Wood",Northeast,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,849900.0,Double Garage Attached,Detached,Bungalow,4713.0,1485.0,2.0,1956,08/19/2013,4.0,T2S 1K6
9,412000.0,Fully Finished,2.0,4.0,Detached,Oakridge,Wood Frame,"Vinyl, Wood",North,"Dishwasher-Built-In, Garage Opener-1 Control, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,419000.0,Single Garage Attached,Detached,4 Lvl Split,2588.0,1173.0,3.0,1969,08/28/2013,12.0,T2V 3X4
10,295000.0,Partly Finished,2.0,3.0,Semi Detached,Taradale,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Hood Fan, Oven-Built-In, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,299900.0,,Attached,2 Storey,1700.0,1356.0,1.0,2005,08/20/2013,12.0,T3J 0A2
