,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,240000.0,Fully Finished,2.0,3.0,Semi Detached,Forest Lawn,Wood Frame,Stucco,East,"Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric",Natural Gas,240000.0,Double Garage Detached,Attached,Bungalow,1438.0,944.0,2.0,1967,10/01/2013,19.0,T2A 1M2
2,712500.0,Fully Finished,2.0,5.0,Detached,Elboya,Wood Frame,"Stucco, Wood",North,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Microwave, Refrigerators-Two, Stoves-Two",Natural Gas,725000.0,Double Garage Detached,Detached,Bungalow,4061.0,1117.0,2.0,1955,10/04/2013,9.0,T2S 1B5
3,721000.0,Fully Finished,3.0,5.0,Detached,Lake Bonavista,Wood Frame,"Brick, Cedar",West,"Dishwasher-Built-In, Dryer, Freezer, Garage Opener, Microwave Hood Cover, Refrigerators-Two, See Remarks, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Water Softener, Window Coverings-All",Natural Gas,699900.0,Double Garage Attached,Detached,Bungalow,4425.0,1870.0,4.0,1974,09/22/2013,2.0,T2J 3Z7
4,498000.0,Fully Finished,3.0,4.0,Detached,McKenzie Lake,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Garage Opener-1 Control, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,498000.0,"Double Garage Attached, Insulated, Heated, Over Sized",Detached,2 Storey,2886.0,1876.0,4.0,1999,10/04/2013,11.0,T2Z 3J2
5,340000.0,Fully Finished,2.0,4.0,Detached,Marlborough,Wood Frame,Stucco,South,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerators-Two, Stove-Countertop Electric, Stove-Electric, Washer, Window Coverings-All",Natural Gas,349900.0,"Single Carport, Single Garage Detached, Over Sized",Detached,Bungalow,1953.0,1173.0,2.0,1973,09/26/2013,13.0,T2A 4L2
6,625000.0,Unfinished,2.0,3.0,Detached,Valley Ridge,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,649900.0,Double Garage Attached,Detached,2 Storey,3328.0,2400.0,4.0,2012,10/22/2013,36.0,T3B 6B1
7,467000.0,Unfinished,2.0,3.0,Detached,Chaparral,Wood Frame,"Stone, Vinyl",West,"Dishwasher-Built-In, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,474900.0,Double Garage Attached,Detached,2 Storey,2971.0,2163.0,2.0,2009,10/02/2013,16.0,T2X 0L8
8,315000.0,Partly Finished,1.0,2.0,Detached,Bridlewood,Wood Frame,"Vinyl, Wood",West,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Hood Fan, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,319900.0,"Front Drive Access, Parking Pad Cement or Paved",Detached,Bi-Level,1823.0,809.0,2.0,2002,10/05/2013,15.0,T2Y 4L1
9,505000.0,Unfinished,3.0,4.0,Detached,Willow Park,Wood Frame,"Brick, Composite",South,"Dryer, Garage Opener-2 Control, Oven-Built-In, Refrigerator, Stove-Countertop Electric, Washer",Natural Gas,539900.0,Double Garage Detached,Detached,4 Lvl Split,2402.0,1385.0,2.0,1966,10/26/2013,39.0,T2J 0L7
10,283000.0,Unfinished,1.0,3.0,Row,Millrise,Wood Frame,"Stone, Vinyl",West,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,286800.0,Single Garage Attached,Attached,2 Storey,1593.0,1194.0,2.0,1999,10/17/2013,13.0,T2Y 3W1
11,582500.0,Fully Finished,2.0,3.0,Detached,Sundance,Wood Frame,"Brick, Wood",South,"Dishwasher-Built-In, Garage Opener-2 Control, Garburator, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,599900.0,Double Garage Attached,Detached,2 Storey,2930.0,2314.0,2.0,1985,10/09/2013,13.0,T2X 2M8
12,1400000.0,Fully Finished,3.0,6.0,Detached,Springbank Hill,Wood Frame,Stucco,South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Built-In, Oven-Microwave, Refrigerator, Refrigerators-Two, Stove-Countertop Gas, Washer, Window Coverings-All",Natural Gas,1499000.0,Double Garage Attached,Detached,2 Storey,8787.0,3033.0,2.0,2003,11/01/2013,37.0,T3H 4V1
13,404500.0,Fully Finished,2.0,4.0,Detached,Thorncliffe,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Garage Opener, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,419900.0,"Double Garage Detached, Heated, Over Sized",Detached,Bungalow,2083.0,1076.0,2.0,1966,11/01/2013,33.0,T2K 0L9
14,391000.0,Fully Finished,3.0,3.0,Semi Detached,Panorama Hills,Wood Frame,"Stone, Vinyl",Southwest,"Alarm/Security System, Dishwasher-Built-In, Garage Opener-2 Control, Garburator, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,394900.0,Double Garage Detached,Attached,2 Storey,2392.0,1506.0,4.0,2003,09/30/2013,13.0,T3K 5T4
15,400786.0,Fully Finished,3.0,3.0,Detached,Monterey Park,Wood Frame,Vinyl,Northeast,"Air Conditioning-Central, Dishwasher-Built-In, Garage Opener-2 Control, Garburator, Hood Fan, Refrigerator, Satellite TV Dish, Storage Shed, Stove-Electric, Vacuum System Attachments, Window Coverings-All",Natural Gas,399900.0,"Double Garage Attached, Over Sized",Detached,Bi-Level,2494.0,1428.0,4.0,1994,10/07/2013,18.0,T1Y 6Y4
16,325000.0,"Fully Finished, Suite",2.0,3.0,Detached,Abbeydale,Wood Frame,Wood,East,Appliances Negotiable,Natural Gas,329900.0,Double Garage Detached,Detached,Bungalow,1570.0,885.0,3.0,1980,10/24/2013,38.0,T2A 6T6
17,529900.0,Fully Finished,3.0,4.0,Detached,McKenzie Towne,Wood Frame,Vinyl,East,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Opener, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer",Natural Gas,529900.0,Double Garage Detached,Detached,2 Storey,2939.0,2077.0,2.0,2005,11/01/2013,49.0,T2Z 4S6
18,439000.0,Unfinished,2.0,4.0,Detached,Evanston,Wood Frame,Vinyl,West,"Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,439900.0,Double Garage Attached,Detached,2 Storey,2690.0,2069.0,4.0,2006,10/05/2013,9.0,T3P 1E9
19,312000.0,Fully Finished,2.0,3.0,Semi Detached,Coventry Hills,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Natural Gas,314900.0,,Attached,2 Storey,1994.0,1291.0,1.0,2004,10/04/2013,10.0,T3K 5W9
20,425000.0,Fully Finished,1.0,3.0,Detached,Highwood,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Fan-Ceiling, Freezer, Refrigerators-Two, Storage Shed, Stove-Electric, Washer, Water Softener, Window Coverings-All",Natural Gas,419900.0,,Detached,Bungalow,2225.0,852.0,2.0,1955,10/01/2013,6.0,T2K 1Y5
21,465000.0,Unfinished,2.0,3.0,Detached,Evergreen,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Countertop Electric, Washer, Window Coverings-All",Natural Gas,484888.0,Double Garage Attached,Detached,2 Storey,2854.0,1912.0,2.0,2010,10/19/2013,24.0,T2Y 0G2
22,285500.0,Suite,2.0,6.0,Detached,Forest Lawn,Wood Frame,Stucco,West,None,Natural Gas,279900.0,Double Garage Detached,Detached,Bungalow,1665.0,863.0,2.0,1957,10/01/2013,4.0,T2A 1E7
23,515000.0,Partly Finished,2.0,3.0,Detached,Banff Trail,Wood Frame,"Stucco, Wood",West,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Garburator, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,529900.0,Single Garage Detached,Detached,Bungalow,3104.0,1010.0,2.0,1952,10/01/2013,9.0,T2M 4C9
24,515000.0,Suite,2.0,5.0,Detached,Collingwood,Wood Frame,Stucco,South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,524999.0,Double Garage Detached,Detached,Bungalow,2623.0,1036.0,3.0,1959,10/16/2013,34.0,T2L 0G3
25,1150000.0,Fully Finished,3.0,4.0,Semi Detached,McKenzie Lake,Wood Frame,"Stone, Stucco",Southeast,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Garburator, Oven-Built-In, Oven-Microwave, Refrigerators-Two, See Remarks, Storage Shed, Stove-Gas, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,1149900.0,"Double Garage Attached, Over Sized",Attached,Bungalow,6891.0,2133.0,4.0,1999,09/26/2013,6.0,T2Z 3R2
26,733000.0,Fully Finished,3.0,3.0,Semi Detached,Parkdale,Wood Frame,"See Remarks, Stone, Stucco",East,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Gas",Natural Gas,735000.0,"Double Garage Detached, Insulated",Attached,2 Storey,3651.0,1722.0,4.0,2013,10/07/2013,17.0,T2N 2W9
27,988000.0,Fully Finished,2.0,3.0,Row,Lower Mount Royal,Wood Frame,Brick,South,"Alarm/Security System, Dishwasher-Built-In, Dryer, Freezer, Garage Opener-2 Control, Oven-Built-In, Refrigerators-Two, Stove-Countertop Electric, Washer, Water Softener, Window Coverings-All",Natural Gas,995000.0,Double Garage Attached,Attached,2 Storey,6116.0,2518.0,2.0,1991,10/25/2013,36.0,T2S 3A9
28,865000.0,Fully Finished,3.0,5.0,Semi Detached,Richmond,Wood Frame,"Stone, Stucco",West,"Alarm/Security System, Dishwasher-Built-In, Garage Opener-2 Control, Refrigerator, Stove-Gas, Vacuum Systems, Window Coverings-All",Natural Gas,899000.0,Double Garage Detached,Attached,2 Storey,5708.0,1999.0,2.0,2006,10/09/2013,15.0,T3E 1Y7
29,1500000.0,Fully Finished,2.0,4.0,Detached,Britannia,Wood Frame,Metal,North,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,1475000.0,Double Garage Attached,Detached,4 Lvl Split,7586.0,1506.0,2.0,1956,09/23/2013,5.0,T2S 1J3
30,370000.0,"Fully Finished, Suite",3.0,5.0,Detached,Saddle Ridge,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Hood Fan, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,374900.0,,Detached,Bi-Level,1890.0,1184.0,3.0,2005,09/26/2013,8.0,T3J 5E6
31,615000.0,Fully Finished,3.0,4.0,Detached,Signal Hill,Wood Frame,"Brick, Stucco",West,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Oven-Microwave, Refrigerator, Stove-Gas, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,639900.0,Double Garage Attached,Detached,2 Storey,3669.0,2281.0,2.0,1989,10/02/2013,15.0,T3H 2M2
32,530000.0,Fully Finished,3.0,4.0,Detached,Rocky Ridge,Wood Frame,"Stone, Vinyl",Southwest,"Dryer, Garage Opener, Garage Opener-2 Control, Garburator, Oven-Microwave, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,539900.0,Double Garage Attached,Detached,2 Storey,3240.0,2177.0,4.0,2005,10/24/2013,39.0,T3G 6A3
33,368500.0,Fully Finished,2.0,3.0,Detached,McKenzie Lake,Wood Frame,"Brick, Vinyl",North,"Dishwasher-Built-In, Refrigerator, Stove-Electric",Natural Gas,369900.0,,Detached,2 Storey,2152.0,1485.0,2.0,1999,09/30/2013,17.0,T2Z 3N2
34,323000.0,Unfinished,2.0,3.0,Semi Detached,McKenzie Towne,Wood Frame,"Vinyl, Wood",Northeast,"Dishwasher-Built-In, Dryer, Humidifier-Power (Furnace), Microwave Hood Cover, Stove-Electric, Washer",Natural Gas,324900.0,2 Outdoor Stalls,Attached,2 Storey,1890.0,1164.0,2.0,2010,10/01/2013,11.0,T2Z 0M4
35,565000.0,Unfinished,2.0,3.0,Detached,Chaparral,Wood Frame,"Stone, Vinyl",West,"Alarm/Security System, Dishwasher-Built-In, Garage Opener-2 Control, Oven-Built-In, Oven-Microwave, Refrigerator, Stove-Countertop Gas, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,579000.0,Double Garage Attached,Detached,2 Storey,3132.0,2243.0,2.0,2009,10/22/2013,34.0,T2X 0M3
36,329999.0,Fully Finished,2.0,5.0,Detached,Taradale,Wood Frame,Vinyl,West,"Hood Fan, Refrigerator, Stove-Countertop Electric, Window Coverings-All",Natural Gas,329999.0,,Detached,4 Lvl Split,1972.0,1490.0,2.0,1984,09/24/2013,10.0,T3J 3R4
37,515000.0,Unfinished,1.0,3.0,Detached,Elbow Park,Wood Frame,"Stucco, Vinyl",East,"Dishwasher-Built-In, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,499000.0,"Single Carport, Single Garage Detached",Detached,Bungalow,4599.0,1323.0,2.0,1920,10/08/2013,18.0,T2S 2J6
38,558000.0,Suite,2.0,4.0,Detached,Glamorgan,Wood Frame,Wood,South,"Dishwasher-Built-In, Dryer-Two, Garage Opener-1 Control, Refrigerators-Two, Storage Shed, Stove-Gas, Stoves-Two, Vacuum System Attachments, Vacuum Systems, Washers-Two",Natural Gas,566000.0,Double Garage Detached,Detached,Bungalow,3104.0,983.0,4.0,1958,09/25/2013,12.0,T3E 1G3
39,300000.0,Fully Finished,1.0,2.0,Row,Silverado,Wood Frame,"Brick, Vinyl",North,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,304800.0,Single Garage Attached,Attached,3 Storey,1665.0,1184.0,1.0,2011,10/01/2013,15.0,T2X 0S3
40,289000.0,Unfinished,1.0,3.0,Semi Detached,Taradale,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,299900.0,,Attached,2 Storey,1574.0,1205.0,0.0,2002,11/01/2013,35.0,T3J 4T8
41,455000.0,Fully Finished,3.0,4.0,Detached,Coral Springs,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,469900.0,Double Garage Attached,Detached,2 Storey,2604.0,1900.0,4.0,1994,10/23/2013,32.0,T3J 3M6
