,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,539000.0,Unfinished,2.0,4.0,Detached,Sherwood,Wood Frame,"Stone, Stucco",East,"Dishwasher-Built-In, Hood Fan, Refrigerator, See Remarks, Stove-Electric, Window Coverings-All",Natural Gas,539900.0,Double Garage Attached,Detached,2 Storey,2980.0,2190.0,2.0,2005,09/10/2013,63.0,T3R 1P6
2,359000.0,Partly Finished,2.0,3.0,Detached,Temple,Wood Frame,Stucco,West,"Dishwasher-Built-In, Fan-Ceiling, Garage Opener-2 Control, Garburator, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Window Coverings-All",Natural Gas,359900.0,"Double Garage Detached, Insulated, Heated, Over Sized",Detached,Bungalow,1797.0,1173.0,2.0,1979,08/09/2013,27.0,T1Y 5B5
3,323000.0,Fully Finished,2.0,4.0,Row,Country Hills Village,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Fan-Ceiling, Garage Opener, Garage Opener-1 Control, Garburator, Oven-Microwave, Refrigerator, Stove-Gas, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,327900.0,Single Garage Attached,Attached,2 Storey,1804.0,1219.0,1.0,2006,07/19/2013,14.0,T3K 0E8
4,485000.0,Fully Finished,3.0,3.0,Detached,Panorama Hills,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,499000.0,Double Garage Attached,Detached,2 Storey,2768.0,1843.0,6.0,2006,10/12/2013,93.0,T3K 0A3
5,495500.0,Fully Finished,0.0,4.0,Detached,Dalhousie,Wood Frame,"Metal, Stucco",South,"Air Cleaner-Electronic, Dishwasher-Built-In, Dryer, Freezer, Garage Opener, Garburator, Hood Fan, Refrigerators-Two, Storage Shed, Stove-Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,499900.0,Double Garage Attached,Detached,2 Storey,3521.0,1815.0,5.0,1972,07/18/2013,6.0,T3A 1T6
6,377500.0,Unfinished,2.0,3.0,Detached,Walden,Wood Frame,"Stone, Vinyl, Wood",South,"Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener, Garage Opener-2 Control, Hood Fan, Humidifier-Power (Furnace), Refrigerator, Stove-Countertop Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,389900.0,Double Garage Detached,Detached,2 Storey,2248.0,1356.0,3.0,2011,07/22/2013,16.0,T2X 0N5
7,425000.0,"Fully Finished, Suite",2.0,5.0,Semi Detached,Tuxedo Park,Wood Frame,Wood,South,"Dryer, Garage Opener-1 Control, Refrigerators-Two, Stove-Electric, Stoves-Two, Washer",Natural Gas,439000.0,Double Garage Detached,Attached,Bungalow,2247.0,1076.0,2.0,1979,07/31/2013,16.0,T2E 1X9
8,350100.0,Fully Finished,3.0,5.0,Detached,Marlborough Park,Wood Frame,Stucco,East,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer",Natural Gas,349500.0,Double Garage Attached,Detached,Bi-Level,2007.0,1176.0,4.0,1979,07/29/2013,14.0,T2A 6E2
9,675000.0,Fully Finished,2.0,3.0,Detached,Rocky Ridge,Wood Frame,"Stone, Vinyl",East,"Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-1 Control, Garburator, Humidifier-Power (Furnace), Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,689900.0,Double Garage Attached,Detached,Bungalow,3369.0,1641.0,4.0,2003,08/09/2013,24.0,T3G 5T1
10,555000.0,Fully Finished,2.0,4.0,Detached,Dalhousie,Wood Frame,"Brick, Wood",West,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer",Natural Gas,550000.0,Single Garage Detached,Detached,Bungalow,3072.0,1293.0,1.0,1970,07/27/2013,10.0,T3A 1L1
11,241000.0,Partly Finished,1.0,4.0,Semi Detached,Castleridge,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,244900.0,No Assigned Parking,Attached,4 Lvl Split,1286.0,850.0,2.0,1982,08/14/2013,38.0,T3J 1P1
12,419900.0,Unfinished,2.0,3.0,Detached,Copperfield,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Gas, Washer",Natural Gas,419900.0,,Detached,2 Storey,2294.0,1655.0,0.0,2010,09/04/2013,57.0,T2Z 0X3
13,550000.0,Unfinished,2.0,3.0,Detached,West Springs,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Fan-Ceiling, Garage Opener-2 Control, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,558900.0,Double Garage Attached,Detached,2 Storey,3319.0,1917.0,2.0,2003,07/27/2013,11.0,T3H 5B9
14,260000.0,Unfinished,1.0,2.0,Row,Copperfield,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric",Natural Gas,274900.0,Single Garage Attached,Attached,2 Storey,1801.0,1341.0,2.0,2006,08/30/2013,56.0,T2Z 0L4
15,525000.0,Unfinished,1.0,3.0,Detached,Spruce Cliff,Wood Frame,Stucco,North,"Dishwasher-Built-In, Dryer, Garage Opener, Garage Opener-1 Control, Stove-Electric, Washer, Window Coverings-All",Natural Gas,519900.0,Double Garage Detached,Detached,Bungalow,2582.0,996.0,2.0,1954,07/25/2013,10.0,T3C 0A2
16,415000.0,Fully Finished,3.0,4.0,Detached,Hidden Valley,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Garage Opener, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,429000.0,Double Garage Attached,Detached,2 Storey,2269.0,1401.0,2.0,1995,07/29/2013,21.0,T3A 5K2
17,855000.0,Partly Finished,2.0,4.0,Detached,Kelvin Grove,Wood Frame,Wood,East,"Dishwasher-Built-In, Hood Fan, Refrigerator, See Remarks, Stove-Electric",Natural Gas,809900.0,Double Garage Attached,Detached,2 Storey,4378.0,2174.0,2.0,1962,07/19/2013,2.0,T2V 2L8
18,395000.0,Unfinished,2.0,4.0,Detached,Harvest Hills,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,409900.0,Double Garage Attached,Detached,4 Lvl Split,2386.0,1711.0,2.0,1997,10/26/2013,101.0,T3K 4P9
19,469900.0,Fully Finished,3.0,4.0,Detached,Citadel,Wood Frame,"Brick, Vinyl",East,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,469900.0,Double Garage Attached,Detached,2 Storey,2699.0,1980.0,4.0,1999,07/21/2013,13.0,T3G 4V4
20,545000.0,Fully Finished,2.0,3.0,Detached,Royal Oak,Wood Frame,"Stone, Vinyl",Southwest,"Alarm/Security System, Dishwasher-Built-In, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,559900.0,"Double Garage Attached, Over Sized",Detached,Bungalow,3331.0,1432.0,4.0,2003,08/06/2013,26.0,T3G 5L8
21,488800.0,Fully Finished,2.0,3.0,Detached,Sandstone Valley,Wood Frame,"Brick, Wood",Northeast,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Freezer, Garage Opener-2 Control, Hood Fan, Refrigerators-Two, Stove-Gas, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,488800.0,"Double Garage Attached, Insulated, Front Drive Access",Detached,2 Storey,2718.0,1883.0,4.0,1988,07/25/2013,7.0,T3K 3L9
22,327500.0,Unfinished,2.0,2.0,Semi Detached,McKenzie Towne,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,339900.0,,Attached,2 Storey,1969.0,1115.0,2.0,2012,08/01/2013,20.0,T2Z 1B4
23,615000.0,Fully Finished,2.0,3.0,Detached,Killarney/Glengarry,Wood Frame,"Stucco, Wood",East,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Oven-Built-In, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,609900.0,"Double Garage Detached, Insulated",Detached,2 Storey,3003.0,1528.0,2.0,1978,07/26/2013,9.0,T3E 2J2
24,278500.0,Fully Finished,1.0,2.0,Row,McKenzie Lake,Wood Frame,Vinyl,West,"Garage Opener-1 Control, Refrigerator, Stove-Countertop Electric",Natural Gas,284000.0,Single Garage Attached,Attached,2 Storey,1637.0,1249.0,2.0,1998,08/05/2013,24.0,T2Z 3N8
