,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,763000.0,Fully Finished,3.0,3.0,Detached,Kelvin Grove,Wood Frame,"Brick, Wood",East,"Dishwasher-Built-In, Dryer, Garage Opener, Refrigerator, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,795000.0,Double Garage Attached,Detached,2 Storey,4664.0,2638.0,2.0,1973,07/08/2011,43.0,T2V 4A9
2,548000.0,Fully Finished,3.0,5.0,Detached,McKenzie Lake,Wood Frame,Stucco,Northwest,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener, Garage Opener-2 Control, Garburator, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All","Coal, Natural Gas",569900.0,Double Garage Attached,Detached,2 Storey,3010.0,2198.0,2.0,1992,07/11/2011,42.0,T2Z 1P4
3,420000.0,Fully Finished,2.0,3.0,Detached,Capitol Hill,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-1 Control, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,429900.0,"Single Garage Detached, Insulated, Over Sized",Detached,4 Lvl Split,2090.0,1111.0,1.0,1983,06/15/2011,21.0,T2M 0W8
4,435000.0,Fully Finished,3.0,4.0,Detached,Cougar Ridge,Wood Frame,Vinyl,East,See Remarks,Natural Gas,449900.0,Double Garage Attached,Detached,2 Storey,2284.0,1453.0,4.0,2000,06/22/2011,25.0,T3H 4W3
5,855500.0,Fully Finished,3.0,5.0,Detached,Willow Park,Wood Frame,Metal,South,"Dishwasher-Built-In, Freezer, Garage Opener, Hood Fan, Oven-Microwave, Refrigerator, Stove-Gas",Natural Gas,879900.0,Double Garage Attached,Detached,4 Lvl Split,3242.0,2206.0,5.0,1968,06/28/2011,36.0,T2J 1Z7
6,460000.0,Unfinished,2.0,3.0,Detached,Hamptons,Wood Frame,"Stone, Stucco",Northeast,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Hood Fan, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,475000.0,Double Garage Attached,Detached,2 Storey,2378.0,1754.0,4.0,1998,06/18/2011,24.0,T3A 5Z8
7,237000.0,"Fully Finished, Suite",2.0,4.0,Semi Detached,Temple,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerators-Two, Stove-Electric, Washer, Window Coverings-All",Natural Gas,238900.0,,Attached,Bungalow,1380.0,1039.0,3.0,1980,06/03/2011,8.0,T1Y 4G1
8,385000.0,Fully Finished,2.0,5.0,Detached,Thorncliffe,Wood Frame,"Stucco, Wood",South,"Dryer, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,399900.0,Single Garage Detached,Detached,Bungalow,1949.0,997.0,3.0,1956,07/09/2011,40.0,T2K 2T3
9,537000.0,Fully Finished,3.0,5.0,Detached,Signal Hill,Wood Frame,"Brick, Vinyl",South,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,539900.0,Double Garage Attached,Detached,2 Sty Split,2766.0,1896.0,4.0,1996,05/30/2011,10.0,T3H 3H7
10,255000.0,Fully Finished,2.0,5.0,Detached,Taradale,Wood Frame,"Brick, Metal, Vinyl",North,None,Natural Gas,269900.0,,Detached,Bi-Level,1591.0,999.0,0.0,1989,06/15/2011,30.0,T3J 3E7
11,2650000.0,Fully Finished,3.0,4.0,Detached,Elbow Park,Wood Frame,"Composite, Stone",West,"Dishwasher-Built-In, Oven-Built-In, Refrigerator, Window Coverings-All",Natural Gas,2995000.0,Double Garage Detached,Detached,1 & Half St,13508.0,3323.0,2.0,1950,09/01/2011,94.0,T2T 2L4
12,770000.0,Fully Finished,3.0,4.0,Detached,Hillhurst,Wood Frame,"Brick, Stucco",West,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,799000.0,Double Garage Detached,Detached,2 Storey,4876.0,1891.0,2.0,2005,08/19/2011,93.0,T2N 2B9
13,385000.0,Fully Finished,3.0,5.0,Detached,Southview,Wood Frame,Wood,South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,399900.0,Double Garage Detached,Detached,2 Storey,2123.0,1689.0,2.0,1958,06/30/2011,41.0,T2B 0T5
14,320000.0,Unfinished,2.0,3.0,Detached,Silverado,Wood Frame,"Stone, Vinyl",North,None,Natural Gas,327900.0,Rear Drive Access,Detached,2 Storey,1876.0,1431.0,2.0,2007,06/10/2011,17.0,T2X 0G4
