,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,440000.0,Unfinished,2.0,2.0,Semi Detached,Arbour Lake,Wood Frame,"Stone, Stucco",Southwest,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,450000.0,Single Garage Attached,Attached,Bungalow,2400.0,1130.0,2.0,1994,08/14/2014,11.0,T3G 3W7
2,446000.0,Unfinished,1.0,3.0,Detached,Signal Hill,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Water Softener, Window Coverings-All",Natural Gas,455000.0,Double Garage Detached,Detached,2 Storey,2240.0,1388.0,2.0,1995,08/18/2014,18.0,T3H 3G6
3,456000.0,Fully Finished,2.0,2.0,Row,Signal Hill,Wood Frame,"Brick, Stucco",East,"Dishwasher-Built-In, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,459900.0,Double Garage Attached,Attached,2 Storey,2503.0,1603.0,2.0,1999,08/19/2014,11.0,T3H 4K3
4,330000.0,Unfinished,2.0,3.0,Row,Evergreen,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Dryer, Garage Control, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,334000.0,Single Garage Attached,Attached,2 Storey,1773.0,1259.0,2.0,2004,08/22/2014,15.0,T2Y 4Z5
5,595000.0,Fully Finished,2.0,4.0,Detached,Lakeview,Wood Frame,Brick,West,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener-1 Control, Hood Fan, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,595000.0,"Double Carport, Double Garage Detached",Detached,Bungalow,2942.0,1280.0,4.0,1963,08/12/2014,11.0,T3E 6A7
6,399900.0,Fully Finished,2.0,3.0,Semi Detached,Glenbrook,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,399900.0,,Attached,Bi-Level,2056.0,823.0,2.0,1977,08/28/2014,16.0,T3E 3G2
7,385000.0,Fully Finished,1.0,3.0,Row,Cougar Ridge,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer",Natural Gas,387000.0,Single Garage Attached,Attached,4 Lvl Split,2114.0,1151.0,2.0,2003,08/23/2014,19.0,T3H 5P3
8,418000.0,Fully Finished,2.0,3.0,Detached,Somerset,Wood Frame,"Vinyl, Wood",South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Microwave, Refrigerators-Two, Stove-Electric, Washer, Window Coverings-All",Natural Gas,424800.0,Double Garage Detached,Detached,2 Storey,2267.0,1404.0,4.0,1998,08/21/2014,7.0,T2Y 4K6
9,595000.0,Fully Finished,3.0,4.0,Detached,Cranston,Wood Frame,Stucco,Southwest,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Microwave, Refrigerators-Two, Stove-Electric, Vacuum System Attachments, Washer, Water Softener, Window Coverings-All",Natural Gas,599900.0,Double Garage Attached,Detached,2 Storey,3859.0,2506.0,4.0,2003,08/19/2014,11.0,T3M 1A9
10,278000.0,Fully Finished,1.0,3.0,Semi Detached,Falconridge,Wood Frame,"Stucco, Vinyl",North,"Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer",Natural Gas,284888.0,,Attached,2 Storey,1400.0,1270.0,2.0,1980,08/29/2014,14.0,T3J 1K5
11,540066.0,Fully Finished,2.0,4.0,Detached,Varsity,Wood Frame,Stucco,Southwest,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,529900.0,Double Garage Detached,Detached,Bungalow,3100.0,1044.0,2.0,1965,08/17/2014,4.0,T3A 0Z4
12,485000.0,Unfinished,2.0,3.0,Detached,Tuscany,Wood Frame,Vinyl,Southeast,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,484900.0,Double Garage Attached,Detached,2 Storey,2834.0,1752.0,2.0,2002,08/25/2014,10.0,T3L 2T1
13,561000.0,Fully Finished,3.0,4.0,Detached,Silver Springs,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Fan-Ceiling, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerator, Satellite TV Dish, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,549900.0,"Double Garage Detached, Over Sized",Detached,Bungalow,2737.0,1260.0,4.0,1974,08/08/2014,9.0,T3B 3W1
14,525000.0,Fully Finished,3.0,3.0,Detached,Sundance,Wood Frame,"Brick, Vinyl, Wood",East,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Storage Shed, Stove-Electric, Vacuum System-Roughed-In, Washer",Natural Gas,529800.0,"Double Garage Attached, Heated, Over Sized",Detached,2 Sty Split,2749.0,2066.0,4.0,1988,08/22/2014,7.0,T2X 3A3
15,384900.0,Suite,3.0,5.0,Semi Detached,Thorncliffe,Wood Frame,"Brick, Stucco",East,"Dryer, Hood Fan, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,384900.0,Double Carport,Attached,Bungalow,1627.0,1194.0,2.0,1967,08/22/2014,10.0,T2K 0V3
16,390000.0,Fully Finished,2.0,4.0,Detached,McKenzie Towne,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Natural Gas,395900.0,,Detached,2 Storey,2017.0,1291.0,1.0,1998,08/27/2014,21.0,T2Z 3L5
17,772000.0,Fully Finished,3.0,5.0,Semi Detached,Richmond,Wood Frame,Stucco,East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,780000.0,Double Garage Detached,Attached,2 Storey,4482.0,1965.0,2.0,2005,08/27/2014,11.0,T3E 1V9
