,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,620000.0,Fully Finished,2.0,4.0,Detached,Rutland Park,Wood Frame,Stucco,North,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer",Natural Gas,639000.0,Double Garage Detached,Detached,Bungalow,3009.0,1041.0,2.0,1956,07/12/2014,17.0,T3E 1A2
2,585000.0,Fully Finished,3.0,3.0,Detached,McKenzie Lake,Wood Frame,Stucco,North,"Appliances Negotiable, Garage Opener-2 Control, Garburator, Hood Fan, Storage Shed, Window Coverings-All",Natural Gas,585000.0,Double Garage Attached,Detached,2 Storey,3387.0,2120.0,2.0,1991,07/14/2014,20.0,T2Z 2G9
3,385000.0,Fully Finished,2.0,4.0,Detached,Braeside,Wood Frame,"Brick, Wood",East,"Dishwasher-Built-In, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,389800.0,Front Drive Access,Detached,2 Sty Split,2389.0,1582.0,2.0,1978,07/07/2014,13.0,T2W 2W6
4,405000.0,Unfinished,2.0,3.0,Detached,Cranston,Wood Frame,Vinyl,West,"Garage Control, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,399900.0,Double Garage Detached,Detached,2 Storey,2038.0,1357.0,2.0,2004,07/05/2014,8.0,T3M 1J6
5,685000.0,Fully Finished,3.0,4.0,Detached,Chaparral,Wood Frame,"Stone, Vinyl",East,See Remarks,Natural Gas,679900.0,Double Garage Attached,Detached,2 Storey,3534.0,2529.0,4.0,2005,06/30/2014,7.0,T2X 3Y3
6,536500.0,Fully Finished,0.0,2.0,Detached,Mount Pleasant,Wood Frame,Cedar,South,"Dishwasher-Built-In, Dryer, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,544500.0,"Single Garage Detached, Heated",Detached,2 Storey,2693.0,1303.0,1.0,1911,07/07/2014,11.0,T2M 1J9
7,540000.0,Fully Finished,3.0,4.0,Detached,Bridlewood,Wood Frame,"Stone, Vinyl",North,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Humidifier-Power (Furnace), Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,555000.0,"Double Garage Attached, Over Sized",Detached,2 Storey,2860.0,2188.0,2.0,2006,07/31/2014,29.0,T2Y 5H4
8,598900.0,Fully Finished,2.0,3.0,Detached,Shaganappi,Wood Frame,Stucco,West,"Refrigerator, Stove-Electric",Natural Gas,599900.0,Front Drive Access,Detached,Bungalow,2848.0,832.0,1.0,1950,07/27/2014,31.0,T2P 2R7
9,945000.0,Fully Finished,3.0,6.0,Detached,Evergreen,Wood Frame,"Stone, Stucco",Southeast,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Fan-Ceiling, Freezer, Garage Opener-1 Control, Hood Fan, Humidifier-Power (Furnace), Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,975000.0,Double Garage Attached,Detached,2 Storey,5222.0,2798.0,4.0,2008,08/07/2014,40.0,T2X 0B8
10,442500.0,Fully Finished,3.0,4.0,Detached,Evergreen,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Gas, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,445000.0,Double Garage Detached,Detached,2 Storey,2396.0,1496.0,2.0,2006,07/18/2014,24.0,T2Y 5G4
11,409900.0,Fully Finished,1.0,3.0,Detached,Thorncliffe,Wood Frame,"Stucco, Wood",Northwest,"Dryer, Fan-Ceiling, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,409900.0,Single Garage Detached,Detached,Bungalow,2222.0,1248.0,1.0,1954,07/11/2014,10.0,T2K 3B7
12,344500.0,Partly Finished,2.0,3.0,Row,Rocky Ridge,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,349900.0,Double Garage Attached,Attached,2 Storey,2026.0,1259.0,3.0,1998,07/29/2014,28.0,T3G 4P6
13,468500.0,Unfinished,2.0,3.0,Row,West Springs,Wood Frame,Stucco,East,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,458800.0,Single Garage Attached,Attached,2 Storey,2396.0,1496.0,1.0,2005,07/13/2014,11.0,T3H 0A9
14,546000.0,Fully Finished,3.0,4.0,Detached,Evergreen,Wood Frame,"Stone, Vinyl",South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,549800.0,Double Garage Attached,Detached,2 Storey,3334.0,2468.0,4.0,2006,07/04/2014,9.0,T2Y 0A9
15,475000.0,Fully Finished,3.0,4.0,Detached,Citadel,Wood Frame,Vinyl,Southeast,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Water Softener, Window Coverings-All",Natural Gas,475880.0,Double Garage Attached,Detached,2 Storey,2294.0,1452.0,4.0,2002,08/05/2014,43.0,T3G 5E3
16,364000.0,"Fully Finished, Suite",2.0,5.0,Detached,Whitehorn,Wood Frame,"Stucco, Wood",East,"Dryer, Hood Fan, Refrigerators-Two, Stoves-Two, Washer",Natural Gas,379888.0,"Double Garage Detached, Insulated, Heated, Over Sized, RV Parking",Detached,Bungalow,1918.0,1087.0,4.0,1975,08/13/2014,54.0,T1Y 1P7
17,325000.0,Unfinished,2.0,2.0,Row,Evanston,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Garage Opener-2 Control, Garburator, Oven-Microwave, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,329900.0,Double Garage Attached,Attached,2 Storey,1887.0,1351.0,2.0,2006,07/31/2014,39.0,T3P 0B3
18,382000.0,"Fully Finished, Suite",2.0,4.0,Detached,Taradale,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garage Opener, Intercom, Refrigerators-Two, Stoves-Two, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,389900.0,"Double Garage Detached, Front and Rear Drive Access",Detached,Bi-Level,1855.0,990.0,3.0,1990,07/16/2014,21.0,T3J 3E4
19,438000.0,Fully Finished,3.0,6.0,Detached,Castleridge,Wood Frame,"Brick, Metal",East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerators-Two, Stoves-Two, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,449000.0,"Double Garage Attached, Insulated",Detached,2 Sty Split,2307.0,2251.0,2.0,1981,08/13/2014,50.0,T3J 1N8
