,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,950000.0,"Suite, Fully Finished",3.0,4.0,Detached,Cliff Bungalow,Wood Frame,Wood Shingle,West,"Dishwasher-Built-In, Dryer, Garage Opener, Garage Opener-2 Control, Oven-Microwave, Refrigerators-Two, Stove-Electric, Stove-Gas, Washer, Window Coverings-All",Natural Gas,995000.0,Double Garage Detached,Detached,2 Storey,5143.0,1528.0,2.0,1912,07/11/2013,25.0,T0L 1T5
2,325000.0,Fully Finished,2.0,4.0,Detached,Dover,Wood Frame,"Brick, Metal",Northeast,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,329900.0,Double Garage Detached,Detached,Bungalow,1662.0,910.0,2.0,1972,07/12/2013,24.0,T2B 1Z1
3,530000.0,Fully Finished,2.0,3.0,Detached,Deer Run,Wood Frame,"Brick, Composite",South,"Dishwasher-Built-In, Garburator, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems",Natural Gas,535000.0,Double Garage Attached,Detached,2 Sty Split,3233.0,2565.0,4.0,1991,09/15/2013,83.0,T2J 6Y8
4,442000.0,Fully Finished,3.0,4.0,Detached,McKenzie Towne,Wood Frame,"Stone, Vinyl",East,"Air Conditioning-Central, Dishwasher-Built-In, Fan-Ceiling, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,446900.0,"Double Garage Detached, Over Sized",Detached,Bungalow,2740.0,1431.0,2.0,1997,07/08/2013,18.0,T2Z 2X6
5,510500.0,Unfinished,2.0,3.0,Detached,Scenic Acres,Wood Frame,Vinyl,East,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Oven-Built-In, Oven-Microwave, Refrigerator, Stove-Countertop Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,529900.0,Double Garage Attached,Detached,2 Storey,2952.0,1840.0,4.0,1993,07/21/2013,32.0,T3L 1X6
6,490000.0,Fully Finished,3.0,4.0,Detached,Evanston,Wood Frame,Vinyl,East,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Freezer, Garage Opener-2 Control, Garburator, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,499800.0,Double Garage Attached,Detached,2 Storey,2944.0,2185.0,4.0,2003,07/11/2013,16.0,T3P 1E4
7,817500.0,Fully Finished,3.0,4.0,Detached,Canyon Meadows,Wood Frame,"Brick, Wood",West,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerators-Two, Stove-Gas, Washer, Water Softener, Window Coverings-All",Natural Gas,849900.0,"Double Garage Attached, Insulated",Detached,2 Storey,4788.0,2402.0,5.0,1975,08/14/2013,50.0,T2W 2G3
8,337000.0,Partly Finished,1.0,2.0,Detached,Cranston,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,339900.0,,Detached,Bi-Level,1789.0,852.0,2.0,2004,07/21/2013,26.0,T3M 1E5
9,520000.0,Partly Finished,2.0,4.0,Detached,Inglewood,Wood Frame,Vinyl,West,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garburator, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,534900.0,"Single Garage Detached, 2 Outdoor Stalls",Detached,Bungalow,2667.0,1006.0,3.0,1930,07/29/2013,40.0,T2G 3L9
10,581800.0,Unfinished,2.0,3.0,Detached,Silverado,Wood Frame,"Stone, Vinyl",East,"Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Gas, Window Coverings-All",Natural Gas,599000.0,Double Garage Attached,Detached,2 Storey,3470.0,2685.0,4.0,2010,06/30/2013,10.0,T2K 0K2
