,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,550000.0,Fully Finished,3.0,5.0,Detached,Edgemont,Wood Frame,"Brick, Stucco",West,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener, Hood Fan, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Washer, Water Softener, Window Coverings-All",Natural Gas,564900.0,Double Garage Attached,Detached,2 Sty Split,3027.0,1964.0,4.0,1989,10/31/2011,50.0,T3A 4W7
2,309500.0,Fully Finished,2.0,4.0,Detached,Highland Park,Wood Frame,Vinyl,North,"Dryer, Garage Opener, Hood Fan, Refrigerators-Two, Stoves-Two, Washer",Natural Gas,314900.0,"Single Garage Detached, Over Sized",Detached,Bungalow,2173.0,780.0,2.0,1950,09/23/2011,11.0,T2K 0B9
3,319900.0,Unfinished,2.0,3.0,Semi Detached,Chaparral,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Oven-Microwave, Refrigerator, Stove-Electric",Natural Gas,319900.0,,Attached,2 Storey,980.0,1584.0,1.0,2011,11/04/2011,39.0,T2X 0S1
4,437000.0,Fully Finished,3.0,4.0,Detached,Braeside,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Garage Control, Garage Opener-1 Control, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,459900.0,"Double Garage Detached, Over Sized",Detached,4 Lvl Split,2162.0,1097.0,2.0,1977,11/04/2011,37.0,T2W 2X7
5,353000.0,Fully Finished,2.0,3.0,Detached,Fairview,Wood Frame,Metal,West,"Dishwasher-Built-In, Garage Opener-2 Control, Microwave Hood Cover, Oven-Built-In, Refrigerator, Stove-Countertop Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,359900.0,"Triple Garage Detached, Over Sized, RV Parking",Detached,Bungalow,1924.0,1120.0,4.0,1959,10/12/2011,33.0,T2H 1C6
6,269000.0,Fully Finished,3.0,5.0,Detached,Castleridge,Wood Frame,Vinyl,East,None,Natural Gas,289900.0,Double Garage Attached,Detached,4 Lvl Split,1958.0,1334.0,2.0,1980,11/18/2011,67.0,T3J 1M8
7,383000.0,Fully Finished,2.0,3.0,Detached,Brentwood,Wood Frame,"Brick, Stucco, Wood",Southwest,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Washer, Water Softener, Window Coverings-All",Natural Gas,398900.0,Double Garage Detached,Detached,4 Lvl Split,2584.0,1087.0,2.0,1963,10/21/2011,25.0,T2L 1S1
8,269000.0,Partly Finished,2.0,4.0,Semi Detached,Deer Ridge,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garburator, Humidifier-Power (Furnace), Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,274900.0,,Attached,Bungalow,1502.0,893.0,1.0,1981,10/22/2011,38.0,T2J 6K2
9,523750.0,Fully Finished,3.0,5.0,Detached,Canyon Meadows,Wood Frame,Composite,North,"Dryer, Freezer, Garburator, Oven-Microwave, Refrigerators-Two, Storage Shed, Stove-Gas, Washer, Window Coverings-All",Natural Gas,555000.0,"Double Garage Attached, Insulated",Detached,3 Lvl Split,3103.0,1894.0,2.0,1973,11/07/2011,39.0,T2W 2A7
10,517000.0,Unfinished,2.0,4.0,Detached,Diamond Cove,Wood Frame,"Brick, Vinyl",East,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,524900.0,Double Garage Attached,Detached,2 Storey,3072.0,2332.0,4.0,1993,10/21/2011,25.0,T2J 7E2
11,419500.0,Fully Finished,2.0,4.0,Detached,Crescent Heights,Wood Frame,Wood,North,"Dishwasher-Built-In, Refrigerator, Stove-Countertop Gas, Window Coverings-All",Natural Gas,449900.0,Single Garage Detached,Detached,Bungalow,1836.0,828.0,1.0,1914,10/31/2011,34.0,T2E 0V5
12,308000.0,Partly Finished,2.0,2.0,Detached,McKenzie Towne,Wood Frame,"Cedar, Vinyl",South,"Alarm/Security System, Dishwasher-Built-In, Hood Fan, Oven-Microwave, Refrigerator, See Remarks, Storage Shed, Stove-Electric, Vacuum System-Roughed-In",Natural Gas,319900.0,,Detached,2 Storey,1859.0,1337.0,0.0,2005,11/10/2011,50.0,T2G 2Y4
