,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,272000.0,Fully Finished,2.0,4.0,Semi Detached,Albert Park/Radisson Heights,Wood Frame,"Brick, Stucco",South,"Dryer, Hood Fan, Refrigerators-Two, Stove-Electric, Washer, Window Coverings-All",Natural Gas,284900.0,,Attached,Bi-Level,1653.0,1001.0,2.0,1972,08/19/2013,15.0,T2A 0L5
2,552500.0,Fully Finished,3.0,5.0,Detached,Lake Bonavista,Wood Frame,"Brick, Wood",East,"Dishwasher-Built-In, Freezer, Garage Opener-2 Control, Oven-Microwave, Refrigerators-Two, Stove-Electric, Vacuum System Attachments, Water Softener, Window Coverings-All",Natural Gas,569900.0,Double Garage Detached,Detached,Bungalow,3538.0,1815.0,2.0,1971,09/13/2013,38.0,T2J 0P2
3,725000.0,Unfinished,2.0,3.0,Detached,Auburn Bay,Wood Frame,"Fiber Cement Siding, Stone",South,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,689900.0,"Triple Garage Attached, Insulated",Detached,2 Storey,1311.0,2424.0,6.0,2013,08/07/2013,6.0,T3M 0R6
4,613000.0,Fully Finished,1.0,2.0,Detached,Killarney/Glengarry,Wood Frame,Stucco,West,"Dryer, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,610000.0,"Single Garage Detached, Over Sized",Detached,Bungalow,2734.0,850.0,2.0,1953,08/07/2013,6.0,T3E 2P1
5,360000.0,,0.0,1.0,Detached,Thorncliffe,Wood Frame,Vinyl,West,See Remarks,See Remarks,339000.0,Single Garage Detached,Detached,Bungalow,2083.0,1011.0,1.0,1954,09/03/2013,33.0,T2K 2Y3
6,410000.0,Fully Finished,3.0,5.0,Detached,Saddle Ridge,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,410000.0,Double Garage Attached,Detached,2 Storey,2206.0,1420.0,6.0,2003,09/11/2013,39.0,T3J 5B5
7,201000.0,Partly Finished,1.0,2.0,Detached,Albert Park/Radisson Heights,Wood Frame,Vinyl,South,None,Natural Gas,199999.0,Double Garage Detached,Detached,1 & Half St,1501.0,861.0,2.0,1930,08/10/2013,6.0,T2A 0M6
8,412000.0,Unfinished,2.0,3.0,Detached,Ranchlands,Wood Frame,"Brick, Stucco, Wood",East,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer",Natural Gas,412000.0,Double Garage Attached,Detached,4 Lvl Split,2167.0,1700.0,4.0,1980,08/15/2013,15.0,T3G 1V5
9,347000.0,Partly Finished,2.0,4.0,Detached,McKenzie Towne,Concrete,Vinyl,South,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,349900.0,,Detached,2 Storey,2092.0,1358.0,0.0,2004,08/13/2013,14.0,T2Z 4H7
10,382500.0,Fully Finished,2.0,3.0,Detached,Charleswood,Wood Frame,"Stucco, Vinyl, Wood",Southwest,"Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,399900.0,Single Garage Attached,Detached,Bungalow,2443.0,968.0,1.0,1959,08/30/2013,32.0,T2L 0C3
11,505000.0,Unfinished,2.0,3.0,Detached,Auburn Bay,Wood Frame,"Brick, Cedar, Vinyl",North,"Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,524800.0,Double Garage Attached,Detached,2 Storey,3072.0,2203.0,4.0,2011,09/18/2013,48.0,T3M 0Y4
12,425000.0,Fully Finished,1.0,3.0,Detached,Willow Park,Wood Frame,"Stucco, Vinyl",East,"Dishwasher-Portable, Dryer, Fan-Ceiling, Freezer, Garage Opener-2 Control, Hood Fan, Refrigerator, Storage Shed, Stove-Countertop Electric, Washer, Window Coverings-All",Natural Gas,449900.0,Double Garage Detached,Detached,Bungalow,2538.0,1184.0,2.0,1964,11/01/2013,86.0,T2J 1G8
13,340000.0,Fully Finished,2.0,3.0,Detached,Ogden,Wood Frame,"Stucco, Wood",Southeast,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,349900.0,Double Garage Detached,Detached,Bungalow,1972.0,982.0,2.0,1976,08/29/2013,21.0,T2C 1W8
14,460000.0,Fully Finished,2.0,4.0,Detached,Haysboro,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Freezer, Garburator, Refrigerator, Storage Shed, Stove-Electric",Natural Gas,468000.0,Parking Pad Cement or Paved,Detached,Bungalow,2841.0,1115.0,1.0,1958,08/10/2013,11.0,T2V 3C5
15,345000.0,Fully Finished,2.0,3.0,Detached,Pineridge,Wood Frame,See Remarks,North,"Air Conditioning-Central, Dishwasher-Built-In, Freezer, Garage Opener-1 Control, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,349900.0,Double Garage Detached,Detached,Bungalow,1893.0,1151.0,3.0,1975,08/11/2013,10.0,T1Y 1Z9
16,335000.0,Fully Finished,2.0,3.0,Detached,Deer Ridge,Wood Frame,"Metal, Wood",Northeast,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,339900.0,Front Drive Access,Detached,4 Lvl Split,1792.0,861.0,1.0,1981,08/08/2013,8.0,T2J 6M1
17,455000.0,Fully Finished,2.0,3.0,Detached,Kingsland,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Dryer, Freezer, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,464900.0,"Single Garage Detached, Double Garage Detached",Detached,Bungalow,2339.0,850.0,5.0,1957,09/19/2013,51.0,T2N 2W5
18,337500.0,Fully Finished,2.0,3.0,Row,Hidden Valley,Wood Frame,"Stone, Vinyl",East,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,348000.0,"Single Garage Attached, Parking Pad Cement or Paved",Attached,2 Storey,1763.0,1194.0,2.0,2003,08/14/2013,12.0,T3A 6L8
