,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,447500.0,Unfinished,2.0,3.0,Detached,New Brighton,Wood Frame,"Stone, Vinyl",Northeast,"Dishwasher-Built-In, Microwave Hood Cover, Refrigerator, Stove-Electric",Natural Gas,453000.0,Double Garage Attached,Detached,2 Storey,912.0,2122.0,2.0,2012,10/12/2012,31.0,T2Z 1A5
2,350000.0,Fully Finished,1.0,3.0,Detached,Huntington Hills,Wood Frame,Metal,West,"Dryer, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,359900.0,Double Garage Detached,Detached,Bungalow,2093.0,1195.0,2.0,1968,10/17/2012,45.0,T2K 4L1
3,414000.0,Fully Finished,3.0,3.0,Detached,Haysboro,Wood Frame,"Brick, Stucco",East,"Dishwasher-Built-In, Refrigerator, Stove-Electric",Natural Gas,400000.0,Double Garage Detached,Detached,3 Lvl Split,2629.0,1323.0,2.0,1958,09/18/2012,11.0,T2V 3G1
4,299600.0,Fully Finished,2.0,2.0,Detached,Forest Lawn,Wood Frame,Vinyl,West,"Dryer, Refrigerator, Stove-Electric, Washer",Natural Gas,300000.0,Double Garage Detached,Detached,Bungalow,1522.0,936.0,2.0,1958,09/12/2012,5.0,T2B 1K2
5,490000.0,Fully Finished,3.0,4.0,Detached,McKenzie Lake,Wood Frame,Stucco,Northeast,"Dishwasher-Built-In, Garage Opener, Refrigerator, Stove-Electric",Natural Gas,499900.0,"Double Garage Attached, Insulated",Detached,2 Storey,2950.0,1926.0,2.0,1995,10/10/2012,35.0,T2Z 2N5
6,643000.0,Partly Finished,2.0,3.0,Detached,Chinook Park,Wood Frame,"Brick, Wood",East,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Oven-Microwave, Refrigerator, Stove-Countertop Electric, Washer, Window Coverings-All",Natural Gas,669900.0,Double Garage Detached,Detached,4 Lvl Split,3034.0,1365.0,2.0,1960,10/01/2012,19.0,T2V 2S3
7,325000.0,Fully Finished,2.0,3.0,Detached,Coventry Hills,Wood Frame,Vinyl,Southeast,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,329900.0,,Detached,Bi-Level,1769.0,894.0,2.0,2004,09/17/2012,16.0,T3K 5W8
8,430000.0,Fully Finished,3.0,4.0,Detached,Arbour Lake,Wood Frame,Vinyl,West,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener, Garage Opener-1 Control, Garburator, Hood Fan, Refrigerator, Stove-Countertop Electric, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,434900.0,Double Garage Attached,Detached,2 Storey,2691.0,1765.0,2.0,1993,09/18/2012,11.0,T3G 3Z7
9,243000.0,Unfinished,1.0,3.0,Detached,Abbeydale,Wood Frame,Stucco,North,"Dishwasher-Built-In, Dryer, Refrigerator, Storage Shed, Stove-Electric, Window Coverings-All",Natural Gas,249900.0,,Detached,2 Storey,1316.0,1140.0,2.0,1977,09/12/2012,6.0,T2A 5Z3
10,320000.0,Fully Finished,2.0,3.0,Detached,Acadia,Wood Frame,Stucco,North,"Dishwasher-Portable, Dryer, Garage Opener-2 Control, Refrigerators-Two, Stove-Electric, Washer, Window Coverings-All",Natural Gas,324900.0,Double Garage Detached,Detached,Bungalow,2182.0,1022.0,2.0,1960,09/21/2012,17.0,T2H 1N9
11,480000.0,Fully Finished,3.0,4.0,Detached,Cougar Ridge,Wood Frame,"Vinyl, Wood Shingle",South,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer",Natural Gas,495000.0,Double Garage Attached,Detached,2 Storey,2842.0,1743.0,4.0,2003,10/03/2012,31.0,T3H 4X2
