,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,470000.0,Fully Finished,3.0,4.0,Detached,Kincora,Wood Frame,Vinyl,Southeast,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,479700.0,Double Garage Attached,Detached,2 Storey,2731.0,1925.0,4.0,2005,11/15/2011,32.0,T3R 1K6
2,1299000.0,Fully Finished,3.0,4.0,Detached,Parkdale,Wood Frame,Stucco,South,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Hood Fan, Hot Water Instant, Oven-Microwave, Refrigerator, Stove-Gas, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,1325000.0,Double Garage Attached,Detached,2 Storey,7651.0,2807.0,2.0,2008,10/25/2011,20.0,T2N 1C9
3,176000.0,Unfinished,2.0,3.0,Semi Detached,Whitehorn,Wood Frame,Vinyl,West,None,Natural Gas,179900.0,,Attached,Bungalow,1331.0,871.0,2.0,1979,11/08/2011,12.0,T1Y 4H5
4,292000.0,Fully Finished,3.0,5.0,Detached,Rundle,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Refrigerator, Storage Shed, Stove-Electric, Window Coverings-All",Natural Gas,309900.0,"Double Garage Detached, Over Sized",Detached,Bungalow,1881.0,1259.0,2.0,1976,11/11/2011,14.0,T1Y 2W1
5,490000.0,Partly Finished,1.0,2.0,Detached,Killarney/Glengarry,Wood Frame,"Stucco, Wood",East,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Garage Opener-1 Control, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,499900.0,Quad or More Detached,Detached,Bungalow,2437.0,871.0,4.0,1950,10/12/2011,2.0,T3E 2R6
6,432000.0,Unfinished,1.0,1.0,Detached,Capitol Hill,Wood Frame,Stucco,South,"Refrigerator, Stove-Electric",Natural Gas,439900.0,Single Garage Attached,Detached,Bungalow,2102.0,828.0,3.0,1945,10/28/2011,2.0,T2M 1P7
7,330000.0,Fully Finished,2.0,4.0,Detached,Sundance,Wood Frame,Wood,West,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garburator, Humidifier-Power (Furnace), Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Washer, Water Softener, Window Coverings-All",Natural Gas,349900.0,,Detached,2 Storey,2023.0,1722.0,0.0,1982,10/28/2011,22.0,T2X 1W5
8,322000.0,Fully Finished,2.0,3.0,Detached,Hidden Valley,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Window Coverings-All",Natural Gas,329900.0,Rear Drive Access,Detached,4 Lvl Split,1791.0,1033.0,4.0,1996,11/08/2011,35.0,T3A 5N1
9,258000.0,Fully Finished,2.0,4.0,Detached,Castleridge,Wood Frame,Metal,South,Air Conditioning-Central,Natural Gas,264800.0,,Detached,Bungalow,1513.0,1001.0,2.0,1981,11/13/2011,20.0,T3J 1X3
10,299900.0,Unfinished,2.0,3.0,Detached,New Brighton,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Microwave Hood Cover, Refrigerator, Stove-Electric",Natural Gas,299900.0,,Detached,2 Storey,524.0,1195.0,2.0,2011,11/14/2011,27.0,T2Z 0X9
