,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,439900.0,Unfinished,2.0,3.0,Detached,Sundance,Wood Frame,"Brick, Stucco",South,"Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Freezer, Garage Opener, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerators-Two, Stove-Electric, Washer, Water Softener, Window Coverings-All",Natural Gas,439900.0,Double Garage Attached,Detached,2 Sty Split,2417.0,1988.0,2.0,1987,07/13/2012,7.0,T2X 2X2
2,302500.0,Unfinished,2.0,3.0,Semi Detached,Evergreen,Wood Frame,Vinyl,Northeast,None,Natural Gas,299000.0,,Attached,2 Storey,1776.0,1116.0,2.0,2004,09/12/2012,62.0,T2Y 4P8
3,425000.0,Unfinished,2.0,3.0,Detached,Coral Springs,Wood Frame,Stucco,North,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,439900.0,"Double Garage Attached, Insulated",Detached,2 Storey,2598.0,2175.0,6.0,1993,08/25/2012,38.0,T3J 3K1
4,787000.0,Fully Finished,3.0,4.0,Detached,Silver Springs,Wood Frame,Stucco,West,"Dishwasher-Built-In, Garage Control, Garage Opener, Garage Opener-2 Control, Hood Fan, Refrigerator, See Remarks, Stove-Gas, Vacuum System Attachments, Window Coverings-All",Natural Gas,798888.0,Triple Garage Attached,Detached,Bungalow,4789.0,2132.0,3.0,1979,08/28/2012,55.0,T3B 4J1
5,346000.0,Fully Finished,2.0,4.0,Detached,Braeside,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Garburator, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,359900.0,"Single Garage Detached, Front Drive Access, Parking Pad Cement or Paved",Detached,Bungalow,1955.0,1018.0,1.0,1977,09/17/2012,72.0,T2W 3C7
6,464000.0,Fully Finished,2.0,4.0,Detached,Canyon Meadows,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Microwave Hood Cover, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,469900.0,Double Garage Detached,Detached,Bungalow,2289.0,1205.0,2.0,1969,08/27/2012,51.0,T2W 1M5
7,450000.0,Unfinished,2.0,3.0,Detached,Sherwood,Wood Frame,"Stone, Stucco",West,"Dishwasher-Built-In, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,459500.0,Double Garage Attached,Detached,2 Storey,2584.0,1861.0,2.0,2005,10/03/2012,83.0,T3R 1P4
8,663000.0,Fully Finished,3.0,3.0,Detached,Inglewood,Wood Frame,Wood,South,"Dishwasher-Portable, Dryer, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,660000.0,Single Garage Detached,Detached,1 & Half St,2953.0,1459.0,2.0,1905,07/07/2012,2.0,T3G 0M3
9,605000.0,Fully Finished,3.0,5.0,Detached,Mahogany,Wood Frame,"Brick, Stucco",South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Stove-Gas, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,610000.0,Double Garage Attached,Detached,2 Storey,3678.0,2531.0,2.0,2009,07/30/2012,11.0,T3M 0T5
10,285000.0,Unfinished,0.0,1.0,Detached,Kingsland,Wood Frame,Stucco,West,None,Natural Gas,285000.0,Front and Rear Drive Access,Detached,Bungalow,1980.0,1088.0,2.0,1957,07/31/2012,15.0,T2V 1K4
11,462500.0,Fully Finished,3.0,3.0,Detached,Strathcona Park,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Countertop Electric, Stove-Electric, Washer, Window Coverings-All",Natural Gas,479900.0,Single Garage Attached,Detached,2 Storey,2136.0,1486.0,2.0,1980,07/27/2012,16.0,T3H 1K8
12,301450.0,"Fully Finished, Suite",4.0,4.0,Detached,Ogden,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerators-Two, Stoves-Two, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,307900.0,"Double Garage Detached, Insulated, RV Parking",Detached,Bungalow,1734.0,985.0,2.0,1956,09/07/2012,52.0,T2C 0E3
13,463500.0,Fully Finished,3.0,5.0,Detached,Woodbine,Wood Frame,Stucco,North,"Dishwasher-Built-In, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Water Softener, Window Coverings-All",Natural Gas,479900.0,Double Garage Attached,Detached,4 Lvl Split,2431.0,2237.0,4.0,1986,08/03/2012,23.0,T2W 5X5
14,395000.0,Partly Finished,2.0,3.0,Detached,Kingsland,Wood Frame,Stucco,East,"Dishwasher-Built-In, Dryer, Freezer, Oven-Built-In, Refrigerator, Stove-Countertop Electric, Washer, Window Coverings-All",Natural Gas,399000.0,Double Garage Detached,Detached,Bungalow,2046.0,1029.0,2.0,1957,07/24/2012,15.0,T2V 2J9
15,716500.0,Fully Finished,4.0,5.0,Detached,Evergreen,Wood Frame,"Stone, Stucco",South,"Alarm/Security System, Dishwasher-Built-In, Dryer, Fan-Ceiling, Freezer, Garage Opener, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Built-In, Refrigerator, Stove-Countertop Gas, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,734900.0,Quad or More Attached,Detached,Bungalow,3321.0,1501.0,4.0,2004,08/07/2012,26.0,T2Y 4W3
16,415000.0,Unfinished,2.0,3.0,Detached,Coventry Hills,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System-Roughed-In",Natural Gas,419900.0,Double Garage Attached,Detached,2 Storey,830.0,1745.0,4.0,2012,09/13/2012,69.0,T3K 0M9
17,412500.0,Fully Finished,3.0,4.0,Detached,Tuscany,Wood Frame,Vinyl,Northeast,"Dishwasher-Built-In, Dryer, Garage Opener, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer",Natural Gas,419900.0,Double Garage Detached,Detached,2 Storey,2559.0,1386.0,2.0,2005,07/25/2012,19.0,T3A 5K8
18,390000.0,Fully Finished,2.0,5.0,Detached,MacEwan Glen,Wood Frame,Metal,South,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,389900.0,"Single Garage Detached, Over Sized, RV Parking",Detached,Bi-Level,2003.0,1134.0,2.0,1985,07/29/2012,17.0,T3K 2J4
19,390000.0,Fully Finished,2.0,5.0,Detached,North Haven,Wood Frame,"Brick, Stucco, Wood",Southeast,"Dishwasher-Built-In, Humidifier-Power (Furnace), Oven-Built-In, Refrigerator, Stove-Countertop Electric, Window Coverings-All",Natural Gas,399000.0,"Single Carport, Parking Pad Cement or Paved",Detached,Bungalow,1932.0,1009.0,2.0,1962,08/11/2012,36.0,T2K 2H5
20,490000.0,Fully Finished,3.0,4.0,Detached,Hawkwood,Wood Frame,Stucco,East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Garburator, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,499900.0,Double Garage Attached,Detached,2 Sty Split,2556.0,2077.0,4.0,1988,07/29/2012,23.0,T3G 2W9
21,425500.0,Fully Finished,3.0,4.0,Detached,Millrise,Wood Frame,"Stone, Vinyl",West,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,437500.0,Double Garage Attached,Detached,2 Storey,2357.0,1791.0,4.0,2000,08/03/2012,15.0,T2Y 3Y7
22,338000.0,Partly Finished,2.0,4.0,Detached,Taradale,Wood Frame,"Stone, Vinyl",East,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments",Natural Gas,344900.0,Double Garage Attached,Detached,2 Storey,1152.0,1438.0,2.0,2001,07/28/2012,12.0,T3J 3Z1
23,435500.0,Unfinished,2.0,3.0,Detached,Panorama Hills,Wood Frame,"Stone, Vinyl",North,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer",Natural Gas,445000.0,Double Garage Attached,Detached,2 Storey,2590.0,2066.0,4.0,2005,08/11/2012,28.0,T3K 6J9
24,1155000.0,Fully Finished,4.0,4.0,Detached,Altadore,Wood Frame,"Stone, Stucco",East,"Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Oven-Built-In, Oven-Microwave, Refrigerator, Stove-Gas, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,1199700.0,Triple Garage Detached,Detached,2 Storey,6971.0,2772.0,3.0,2007,09/18/2012,62.0,T2T 5B9
