,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,492433.0,Fully Finished,2.0,3.0,Detached,Tuscany,Wood Frame,"Stone, Vinyl",West,"Alarm/Security System, Dishwasher-Built-In, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,489500.0,Double Garage Attached,Detached,2 Storey,3112.0,1701.0,4.0,2002,08/29/2011,11.0,T3L 2S7
2,313250.0,Unfinished,2.0,3.0,Detached,McKenzie Towne,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Refrigerator, Washer",Natural Gas,325000.0,Front and Rear Drive Access,Detached,2 Storey,1836.0,1337.0,3.0,1999,09/17/2011,33.0,T2Z 3L5
3,750000.0,Fully Finished,2.0,3.0,Detached,Arbour Lake,Wood Frame,Stucco,North,"Alarm/Security System, Dryer, Garage Opener-2 Control, Hood Fan, Oven-Built-In, Oven-Microwave, Refrigerator, See Remarks, Stove-Countertop Gas, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,759900.0,Double Garage Attached,Detached,Bungalow,3973.0,1710.0,4.0,2000,08/30/2011,11.0,T3G 4R1
4,322000.0,Partly Finished,2.0,5.0,Detached,Deer Ridge,Wood Frame,Metal,East,"Dishwasher-Built-In, Dryer, Freezer, Hood Fan, Oven-Microwave, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,334900.0,,Detached,4 Lvl Split,1768.0,1173.0,0.0,1978,11/04/2011,85.0,T2J 5S3
5,1317500.0,,2.0,4.0,Detached,Upper Mount Royal,Wood Frame,"Cedar, Wood Shingle",East,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener-2 Control, Garburator, Hood Fan, Hot Water Instant, Humidifier-Power (Furnace), Oven-Microwave, Refrigerator, Stove-Gas, Washer, Water Softener, Window Coverings-All",Natural Gas,1489000.0,Double Garage Detached,Detached,2 Storey,5724.0,2612.0,4.0,1915,11/09/2011,81.0,T2T 3N3
6,350000.0,Fully Finished,2.0,3.0,Detached,Citadel,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,359000.0,"Double Garage Detached, Over Sized",Detached,2 Storey,2145.0,1311.0,4.0,2002,09/07/2011,28.0,T3G 5K9
7,395000.0,Fully Finished,2.0,2.0,Detached,Highland Park,Wood Frame,Vinyl,South,"Dishwasher-Built-In, Garage Opener, Refrigerator, Stove-Electric",Natural Gas,409900.0,Double Garage Detached,Detached,Bungalow,2153.0,1044.0,3.0,1953,10/30/2011,75.0,T2K 0H6
8,335000.0,Fully Finished,3.0,3.0,Detached,Copperfield,Wood Frame,Vinyl,Northwest,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,339900.0,,Detached,4 Lvl Split,1850.0,1011.0,0.0,2002,11/16/2011,89.0,T2Z 4C3
9,375000.0,Fully Finished,2.0,4.0,Detached,Canyon Meadows,Wood Frame,"Brick, Vinyl",West,"Dishwasher-Built-In, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Gas, Vacuum System Attachments, Water Softener, Window Coverings-All",Natural Gas,389900.0,"Single Garage Attached, Insulated, Front Drive Access, Heated",Detached,Bungalow,2264.0,1227.0,1.0,1971,09/12/2011,21.0,T2W 1N8
10,380000.0,Fully Finished,2.0,4.0,Semi Detached,Kingsland,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,394900.0,,Attached,2 Storey,1921.0,1383.0,2.0,1998,10/13/2011,68.0,T2T 1X1
