,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,444000.0,Fully Finished,3.0,4.0,Detached,Taradale,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,454900.0,Double Garage Attached,Detached,2 Storey,2436.0,1489.0,4.0,2002,06/04/2016,14.0,T3J 4W6
2,300000.0,Suite,2.0,5.0,Semi Detached,Marlborough,Wood Frame,Vinyl,Southeast,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,319900.0,Front Drive Access,Attached,Bungalow,1648.0,1080.0,2.0,1973,07/28/2016,61.0,T2A 4H5
3,690000.0,Fully Finished,2.0,3.0,Detached,West Hillhurst,Wood Frame,"Brick, Stucco",North,"Dishwasher-Built-In, Dryer, Garage Opener, Humidifier-Power (Furnace), Microwave Hood Cover, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,675000.0,Single Garage Detached,Detached,1 & Half St,3432.0,1456.0,2.0,1941,06/10/2016,8.0,T2M 0N4
4,542000.0,Fully Finished,3.0,5.0,Detached,Scenic Acres,Wood Frame,"Brick, Stucco",Northwest,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Oven-Microwave, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,558000.0,"Double Garage Attached, Over Sized",Detached,2 Storey,3070.0,2300.0,2.0,1987,07/08/2016,36.0,T3L 1P3
5,529500.0,Unfinished,1.0,3.0,Detached,Crescent Heights,Wood Frame,Wood,West,"Dishwasher-Built-In, Dryer, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,519900.0,Single Garage Detached,Detached,2 Storey,2693.0,1040.0,2.0,1912,06/15/2016,12.0,T2M 2W2
6,731000.0,Fully Finished,3.0,5.0,Detached,Nolan Hill,Wood Frame,"Stone, Stucco, Vinyl",South,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Hood Fan, Oven-Built-In, Refrigerator, Stove-Countertop Electric, Washer",Natural Gas,750000.0,Double Garage Attached,Detached,2 Storey,3924.0,2593.0,4.0,2013,09/02/2016,92.0,T3R 0P8
7,397500.0,Partly Finished,2.0,3.0,Detached,Skyview Ranch,Wood Frame,"Stone, Vinyl",South,"Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Microwave Hood Cover, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,414900.0,"Double Garage Detached, Over Sized, Rear Drive Access",Detached,2 Storey,2270.0,1342.0,2.0,2009,08/16/2016,81.0,T3N 0B2
8,429500.0,Fully Finished,2.0,4.0,Detached,Woodlands,Wood Frame,Vinyl,West,"Appliances Negotiable, Dishwasher - Energy Star, Microwave Hood Cover, Refridgerator - Energy Star, Storage Shed, Stove-Electric, Window Coverings-All",Natural Gas,438888.0,"Double Garage Detached, Triple Garage Detached, Quad or More Detached, RV Parking",Detached,4 Lvl Split,2186.0,1074.0,5.0,1977,07/15/2016,51.0,T2W 3K4
9,807000.0,Fully Finished,3.0,4.0,Detached,Woodlands,Wood Frame,"Brick, Wood",West,"Air Conditioning-Central, Alarm/Security System, Dishwasher-Built-In, Dryer, Garage Control, Garage Opener, Garburator, Hood Fan, Oven-Microwave, Refrigerator, Stove-Gas, Washer, Window Coverings-All",Natural Gas,824800.0,"Double Garage Attached, Front Drive Access",Detached,2 Storey,4928.0,2440.0,4.0,1980,08/23/2016,89.0,T2W 4B9
10,365000.0,Partly Finished,2.0,3.0,Detached,Coventry Hills,Wood Frame,"Stone, Vinyl",South,"Dishwasher-Built-In, Microwave Hood Cover, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,369900.0,No Assigned Parking,Detached,Bi-Level,2100.0,1051.0,1.0,2004,06/15/2016,12.0,T3K 6A8
