,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,659900.0,Unfinished,2.0,3.0,Detached,Aspen Woods,Wood Frame,"Stone, Stucco",West,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Humidifier-Power (Furnace), Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,659900.0,Double Garage Attached,Detached,2 Storey,1116.0,2368.0,4.0,2011,11/15/2011,121.0,T3H 0R5
2,413000.0,Fully Finished,3.0,4.0,Detached,Copperfield,Wood Frame,Vinyl,West,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Oven-Microwave, Refrigerator, Stove-Countertop Electric, Washer, Water Softener, Window Coverings-All",Natural Gas,429900.0,Double Garage Attached,Detached,2 Storey,2366.0,1894.0,2.0,2003,11/04/2011,106.0,T2Z 4L2
3,385000.0,Unfinished,2.0,3.0,Detached,Copperfield,Wood Frame,Vinyl,East,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Oven-Microwave, Refrigerator, Stove-Countertop Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,394900.0,Double Garage Attached,Detached,2 Storey,2295.0,1822.0,2.0,2005,08/08/2011,21.0,T2Z 4S2
4,519500.0,Fully Finished,2.0,4.0,Detached,Silver Springs,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Freezer, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Washer, Window Coverings-All",Natural Gas,542500.0,Single Garage Detached,Detached,Bungalow,2437.0,1407.0,1.0,1975,09/24/2011,69.0,T3B 4C2
5,535000.0,Fully Finished,3.0,5.0,Detached,Edgemont,Wood Frame,"Brick, Stucco",Northwest,"Dishwasher-Built-In, Dryer-Two, Fan-Ceiling, Garage Opener-2 Control, Hood Fan, Refrigerators-Two, Stove-Electric, Vacuum Systems, Washers-Two, Water Softener",Natural Gas,549900.0,"Double Garage Attached, Insulated",Detached,2 Storey,3386.0,2411.0,6.0,1990,09/20/2011,62.0,T3A 4X3
6,485000.0,Unfinished,2.0,3.0,Detached,Scenic Acres,Wood Frame,"Brick, Vinyl",East,"Air Conditioning-Central, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener, Garage Opener-2 Control, Garburator, Oven-Built-In, Refrigerator, Stove-Countertop Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,489000.0,Double Garage Attached,Detached,2 Storey,2561.0,1891.0,4.0,1993,07/21/2011,9.0,T3L 1X6
7,388000.0,Partly Finished,2.0,3.0,Detached,Hidden Valley,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Freezer, Garage Opener-2 Control, Microwave Hood Cover, Refrigerators-Two, Storage Shed, Stove-Countertop Electric, Washer, Window Coverings-All",Natural Gas,399900.0,"Double Garage Attached, Insulated",Detached,2 Storey,2298.0,1727.0,4.0,1997,08/09/2011,27.0,T3A 5W4
8,460000.0,Fully Finished,2.0,2.0,Detached,Killarney/Glengarry,Wood Frame,Stucco,West,"Hood Fan, Refrigerator, Stove-Electric, Window Coverings-All",Natural Gas,479900.0,Single Garage Detached,Detached,Bungalow,2437.0,815.0,1.0,1950,07/29/2011,14.0,T3E 2N4
9,318400.0,Unfinished,1.0,3.0,Detached,Coventry Hills,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Dryer, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,334900.0,,Detached,2 Storey,1918.0,1237.0,2.0,2004,09/15/2011,59.0,T3K 6B2
10,649900.0,Unfinished,2.0,3.0,Detached,Aspen Woods,Wood Frame,"Stone, Stucco",West,"Dishwasher-Built-In, Garage Opener-2 Control, Hood Fan, Humidifier-Power (Furnace), Oven-Microwave, Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Window Coverings-All",Natural Gas,649900.0,Double Garage Attached,Detached,2 Storey,952.0,2263.0,4.0,2011,10/31/2011,106.0,T3H 0R4
