,Sold Price,Basement Development,Baths Full,Beds Total,Building Type,Community,Construction Type,Exterior,Front Exposure,Goods Included,Heating Fuel,List Price,Parking,Property Type,Style,Tax Amount,Tot Flr Area A.G. (SF),Total Parking,Yr Built,day_sold,dom,postal_code
1,475000.0,Unfinished,2.0,3.0,Detached,Evergreen,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Hood Fan, Refrigerator, Stove-Electric",Natural Gas,494900.0,Double Garage Attached,Detached,2 Storey,1026.0,2164.0,4.0,2012,09/14/2012,22.0,T2Y 0H4
2,432500.0,Fully Finished,3.0,4.0,Detached,Riverbend,Wood Frame,"Brick, Vinyl",North,"Dishwasher-Built-In, Fan-Ceiling, Garage Opener-2 Control, Microwave Hood Cover, Refrigerator, Storage Shed, Stove-Electric, Vacuum System Attachments, Window Coverings-All",Natural Gas,439900.0,Double Garage Attached,Detached,2 Sty Split,2306.0,1600.0,2.0,1989,09/25/2012,35.0,T2C 3X2
3,465100.0,Partly Finished,1.0,4.0,Detached,Spruce Cliff,Wood Frame,"Stucco, Wood",East,"Refrigerator, Stove-Electric",Natural Gas,407500.0,Double Garage Detached,Detached,Bungalow,2370.0,1011.0,2.0,1955,08/26/2012,3.0,T3C 1P8
4,246000.0,Fully Finished,2.0,3.0,Semi Detached,Maplewood,Wood Frame,Vinyl,North,"Dishwasher-Built-In, Fan-Ceiling, Freezer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Vacuum Systems, Window Coverings-All",Natural Gas,249900.0,Single Garage Detached,Attached,4 Lvl Split,1979.0,1203.0,4.0,1981,11/16/2012,88.0,T1P 1G7
5,290000.0,Fully Finished,2.0,4.0,Detached,Penbrooke Meadows,Wood Frame,Stucco,South,"Dryer, Garage Opener-1 Control, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,299900.0,"Double Garage Detached, RV Parking",Detached,Bi-Level,1606.0,1103.0,2.0,1971,09/05/2012,12.0,T2A 3R4
6,405000.0,Fully Finished,3.0,5.0,Detached,Deer Ridge_SALB,Concrete,Vinyl,North,"Alarm/Security System, Appliances Negotiable, Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Refrigerator, Satellite TV Dish, Storage Shed, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,414500.0,Double Garage Attached,Detached,Bi-Level,4093.0,2199.0,2.0,1998,09/12/2012,27.0,T8N 6S4
7,440000.0,Unfinished,2.0,3.0,Detached,Evanston,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Dryer, Fan-Ceiling, Garage Opener-2 Control, Humidifier-Power (Furnace), Microwave Hood Cover, Refrigerator, Stove-Electric, Vacuum System-Roughed-In",Natural Gas,454900.0,Double Garage Attached,Detached,2 Storey,0.0,1907.0,2.0,2012,11/08/2012,77.0,T3P 0L3
8,438400.0,Fully Finished,2.0,4.0,Detached,Hawkwood,Wood Frame,"Brick, Vinyl",North,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Hood Fan, Microwave Hood Cover, Refrigerator, Stove-Electric, Vacuum System Attachments, Washer, Window Coverings-All",Natural Gas,439900.0,Double Garage Attached,Detached,4 Lvl Split,2216.0,1760.0,4.0,1992,08/28/2012,8.0,T3G 3T8
9,347000.0,Fully Finished,2.0,3.0,Detached,Somerset,Wood Frame,Vinyl,Southeast,"Dishwasher-Built-In, Dryer, Freezer, Oven-Built-In, Refrigerator, Storage Shed, Stove-Electric, Vacuum System-Roughed-In, Washer",Natural Gas,350000.0,Front and Rear Drive Access,Detached,2 Sty Split,2050.0,1294.0,1.0,2001,11/07/2012,75.0,T2Y 4B5
10,485000.0,"Fully Finished, Suite",2.0,5.0,Detached,Winston Heights/Mountview,Wood Frame,Stucco,South,"Dishwasher-Built-In, Garage Opener, Hood Fan, Refrigerator, Stove-Electric",Natural Gas,489900.0,"Single Garage Detached, Over Sized",Detached,Bungalow,2623.0,1110.0,1.0,1962,08/27/2012,3.0,T2E 1Z5
11,525000.0,Suite,2.0,5.0,Detached,Killarney/Glengarry,Wood Frame,"Stucco, Vinyl",West,"Dishwasher-Built-In, Dryer, Garage Control, Refrigerators-Two, Stoves-Two, Washer, Window Coverings-All",Natural Gas,539900.0,Double Garage Detached,Detached,Bungalow,2611.0,1125.0,4.0,1953,09/18/2012,17.0,T3E 2L1
12,319500.0,"Fully Finished, Suite",3.0,4.0,Detached,Woodside,Wood Frame,Vinyl,East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Microwave Hood Cover, Refrigerators-Two, Stoves-Two, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,319500.0,Double Garage Attached,Detached,Bi-Level,2006.0,1203.0,4.0,1994,09/11/2012,19.0,T4B 2H1
13,490000.0,Fully Finished,2.0,4.0,Detached,Brentwood,Wood Frame,Wood,North,"Dishwasher-Built-In, Dryer, Garage Opener, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,495000.0,"Double Garage Attached, Over Sized",Detached,Bi-Level,2469.0,1353.0,4.0,1962,09/02/2012,9.0,T2L 0J5
14,401000.0,Unfinished,2.0,3.0,Semi Detached,Silverado,Wood Frame,"Stone, Vinyl",East,"Dishwasher-Built-In, Dryer, Garage Opener-2 Control, Humidifier-Power (Furnace), Refrigerator, Stove-Electric, Vacuum System-Roughed-In, Washer, Window Coverings-All",Natural Gas,409900.0,Double Garage Attached,Attached,2 Storey,2497.0,2101.0,4.0,2006,10/01/2012,35.0,T2X 0B4
15,428500.0,Fully Finished,4.0,5.0,Detached,Sandstone Valley,Wood Frame,"Brick, Wood",North,"Dishwasher-Built-In, Dryer, Garage Opener-1 Control, Hood Fan, Refrigerator, Stove-Electric, Washer, Window Coverings-All",Natural Gas,434900.0,Double Garage Attached,Detached,2 Sty Split,2694.0,2077.0,2.0,1983,09/11/2012,15.0,T3K 3A1
16,350000.0,Partly Finished,1.0,2.0,Detached,Highwood,Wood Frame,"Stucco, Wood",North,"Dryer, Garage Opener, Refrigerator, Storage Shed, Stove-Electric, Washer",Natural Gas,359900.0,Double Garage Detached,Detached,Bungalow,2180.0,936.0,2.0,1956,08/31/2012,8.0,T2K 2E7
17,315000.0,Unfinished,1.0,3.0,Detached,Westpark_FSAS,Wood Frame,Vinyl,West,"Dishwasher-Built-In, Garage Opener-2 Control, Oven-Built-In, Refrigerator, Stove-Electric, Vacuum System Attachments, Vacuum Systems, Washer, Window Coverings-All",Natural Gas,324895.0,Double Garage Attached,Detached,Bi-Level,1980.0,1071.0,4.0,1997,10/12/2012,56.0,T8L 4J2
